path	git_blob	sha256	provenance	review_status	finding
backend/migrations/008_add_workshop_incident_actions.sql	b27a352a571adf9d6eb36d450b50a23c75e66eaf	f2036cce44c18e870b9f5c0e16e34414f73bfc11350dd3440aca3aa93fc909e3	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/009_add_incident_workflow_fields.sql	a17c74fbbb22422d0f805a3597f185d0be81dd99	2a1507972a0f70153f839acc971e008ea500eb7e8a7722e37a12da300d40572c	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/010_add_delete_request_reason.sql	a469308be056b6fac81a53df05d5742fffd500d5	716c45d777b27da1947e54c31b3000b8dec34ee6f9f60d1d96a0459f2f6a68c7	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/011_add_incident_assignment_fields.sql	b28d263c28dd8869e0c914e1e555d89e31c28ba6	d1160a6094df73927d135afcce1629ca55cd5828a9a9f2bc0d2b6bc0cc6dd659	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/012_create_workshop_incident_events.sql	e85735e57abe68070bdb645676ecec65baa827f8	a2cba535ea20ffd8acb89df91593b1b60c3b8468054ddf91f488fd9592be4650	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/013_add_incident_display_order.sql	a95f10da0a6cee8478b10550cfa7f7644f8edca4	441cf095695e18e87d50d7bedf7cf31c0ca10828ea67f38aee7d3125b292f1ee	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/014_create_line_audit_events.sql	08f1f847f80f33624f492bb2f7294503b0d29128	f290ee2f039617ae0901062652904e664393d4f6bb4c334da98e3dfa7b7dc4c9	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/015_harden_workshop_integrity.sql	fb5789e1aca1bec3f345915df72e27f95f659dd1	dd3825458e2d30a05e1aacf1928a6c77ac862d0ad285bdfdc8a4746662fa3ad8	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/016_remove_other_incident_state.sql	1080eb7965002eeb438bce9bbe674b255bda65e1	920075940a0b82eb135fe9b5b4c1dda59d4e10b140ff8b6a07d16945941369cf	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/017_enforce_taken_consistency.sql	bb6a74dfd0e77fafc4c03310b611af42eda2f013	298f43f0fd41586765b4cb2a8cebff2c6a7781e14b3c38e06912aa19c7f727ee	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/018_create_workshop_incident_followers.sql	c98d1469c2125e781c584e13e18a2d52a4e0fa22	5846e4a6ab59c255fe00531f7c281f9dc1cea2e7046a92261799f53571e5e61d	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/019_refine_incident_cancellation_and_watchers.sql	7ab5b0d856a7b7ef3a82ce447a223841105f1e8d	19c53c0edf8de4ee2d8d9ba67202c313cee0d79586f186ad09995f9dc8df7b33	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/020_add_workshop_password_setup_codes.sql	36599997327680653d5f8cbb2bb011809fd3e795	73340c92d41ce792ea5ae5872cdc690866f8d88fc4c0d1b0d2cf0f69cb99087b	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/021_harden_workshop_setup_invariants.sql	709151739149935e6ae6e14c75a3d6af175b2976	087e3a1569714dbb53ef85588aafe7d0cccac1cb772b29d0e979f3ff482b0420	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/022_admin_session_version.sql	9555a88e522c2cb89cd706c86845713f36ec8075	92e9733f2a33d355cd1f40a8fd9b032f9bbeb24f4d98461db013bf501c00fa2a	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/023_anonymize_deleted_users.sql	168d86c33f30529aa7de803dfd945811b9442b71	ef5d5b1b7cb2e4d3fdc55a3c3db3b2fb308f5d6ac7f2e6b7f588d221c78775c2	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/024_remove_incident_shift.sql	681344a5c4d9e946a51e84a2dbf221bb7fec0dc8	72c7070c706a955e1be99384de068167e6af65a568f9687aec52d1f2231dc7d9	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/025_audit_target_identity_snapshot.sql	c335eb51910be96173b79dae357af38859261a7d	b0491bdbe67777387de7eb51bbbe69a222c7776c05a7ffd04acc78067b95ce71	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/026_incident_identity_snapshot.sql	8df98f66db25906e982e37cc3de5e4ac4058ef62	f5a22a8c63f9dff179935f7f5bf8bbb108aefb83e5d630177bbe9c25946313ed	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/027_technician_and_badge_snapshot.sql	a9b55ebdd051b16b1dfd2b282124dfc50e9739bc	54593a834199f9d1f54c3308751230c43884e9f10b3b6bcaea6c4de1fc780592	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/028_declarant_badge_snapshot.sql	7d6f4c6e66ab36586a828c20de49d490b45fbe29	62657f43166b43779a2d274f73a9f657956dff66de08713f1297a5a2bd0f6044	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/029_add_email_to_users.sql	9e25ba30c631502f7dcc1b2f0472e39a53a48dbf	6a53f5e176aa6dc1c5c80bcd5e449dbbc90a299b9db3ff5e8fcf5879879778ac	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/030_add_password_reset_requests.sql	cbff3eaafde4b9200596ca78271e7ee9c94f627f	391a53c4f03c86524af1a7c99650bb6cc192025865bcdc45a799cb22c05d5019	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/031_add_email_to_admin_accounts.sql	4a6219ab07402b65748a8fe000eb1f69e665d127	e163cdd1271cd71cb6dd0d99f7fef1d71ef10a6644844f846a3d55b7bb402e87	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/032_add_notification_prefs_to_admin.sql	211f6cf88ad0b70a306ca6c39b51488c67ced7ef	8889474823c37052d555400de1beb61def2e3089b12b37bb996b711e1904c7d9	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/033_add_board_settings_to_admin.sql	52b1e80d40b254aeb70144cd360f6f513c69979b	2fddd78c2ba41e74ed15a026af06f5ac8e375d06cc3a6af8310b1f7ef3652f37	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/034_add_app_settings_to_admin.sql	a26d76c51c4f810bc7afcd5185ca2f03ca90cc90	fba48e62234667a7ad02cb64f9611f8584422a1d7b4db5b3d513bf42b12a73e6	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/035_add_workshop_session_version_and_duration.sql	013d3b3033b42b000104cb1c06dadc1a5faf9043	5bf9627578600d1e0f16c086c3e28b39c08158b8a8339ec00a9a1dafbac5dd94	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/036_line_audit_snapshot.sql	6eb2a393f7e69ce6f9cfc53a943d85cff61c037c	213289b740b4bd83f31f769cf67cc3199a0ded197b39df7d522db57c05d615ae	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/037_create_admin_system_audit_events.sql	6f81f2db10f61d8e2c69ea4fce328ef59563aade	06bbb75c24a791811185d15d964bd1acc318d5665a6a214362fd1e62c063be62	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/038_create_workshop_arbitration_consultations.sql	f3a05ee6c7127041d4d5d87fea3c869243f25556	5af3861b5c9bafc0137f9df60edd91e1bac907ddc0ea1be06d897632cb726723	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/039_harden_audit_actor_and_line_snapshot.sql	b89ca5be6b16440cc2e969f8e11c5a9fa4a8f9a5	e3526291d2087b89465f4f27b16fb9fb92bd68c7a75288efb3a76346c39e4779	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/040_create_workshop_arbitration_cases.sql	1efc100a7f9cb5d7f6633323dded2d1d964583a8	60a1cb7c4368ee1582e223728c794a52e0ff15275ce466efafda4887765336e4	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/041_harden_admin_and_runtime_settings.sql	519d81f3969c6438df157e6b39958da78288eb85	ac352403fe044fdf528539343ee83440bc4d3db6afe14cec7c3b894e19bfdba4	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/042_normalize_production_line_machines.sql	838abe5281c7173222a8e1da0b423f32da276c66	d47c23d2a4511985afc378d90528b4483b555edd81a2d9c7de39108eca5ca1c4	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/043_validate_production_line_payloads.sql	368b3a58f047c293a64ccb9c2569fd5dce2a0c24	e332dabc7172c7eac32803ffc29ede4a19c025cc8feb7dc6b13a0d0e0d815e76	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/044_normalize_workshop_badges.sql	eabd5e19f39a4838aad0f4e1ed5d245cf3193aac	ca43a82c6b4f955cf7f5d75cc788b9eb5ad06e0da8f958f924b5c6d52ddebbe5	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/045_create_notification_outbox.sql	092749d42eace89bab4fa5a211857f0de154ec9d	7e70eceb77c369d3a48fddf32e2d7dfbce44a2e58f69496fb36e89a3f2e2411d	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/046_enforce_operational_identifier_contracts.sql	a00179bd085a434f25c912e04af1b932c96ad2b7	eaa5c646dd88357e72cc058fa402f8072d24277473ad343697c531510f98defe	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/047_extend_notification_outbox_terminal_states.sql	2fdf624228d2a0808f9a43eb3a70990cec14cb8f	90def6f955dd62f292eddd402c9b996daf533f16ac1bdf0e534d22e4bb9a33e7	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/048_track_notification_outbox_recipients.sql	7a21c6ec46a806751c24e0154375a74180e9a0a0	fb411c9c9107fd69b45e196f9b5a8342de929db2c4a5e82aa0abf7e215ff692c	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/049_allow_board_session_without_automatic_expiry.sql	3045045217b5a4348c9708df361533e5c165bf3c	6814b03e5d8320141f88a0b8572503bd9063d5036bb4d249f0ace2deb0d50b5f	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/migrations/050_model_waiting_reason_separately_from_diagnostic.sql	e154e9ac85deff2adfe77ce1d7e02b43ec16a0ba	6b4e83e9cc85144d12f6c53f62de2099237073101ea3dd563e27e367125c845e	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/package-lock.json	d88056fd79053b28aaaa78945b746aab449911f6	728de5f41b71805425aa19d2ca9ef5ac00bf086d7464fed50be8157f9cc21251	INHERITED_29DB4D1_HASH_IDENTICAL	LOCKFILE_VALIDATED	-
backend/package.json	97ef77f5f3ccc050d058c41f8bc83daab140b6ef	df223b8bcdf4d8c6812f04683a15c7ee733cc6d9caddf121b3d272b45e9b701f	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/scripts/assertTestDatabase.ts	962a1ba04bb7126ff204e091ad6ceeb7360c17d3	984752afacb72099d61ee5651126f9c8d33bf10951675fb45a1e15357dbc6552	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/scripts/seedE2E.ts	57599344ccda9a3780691741bbc5a5dd0a7688f6	e5ec5b39671799f192f2041bd4ec4cc8f83c01b409e3b0cb82b191fec44e9f59	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
backend/scripts/seedWorkshopProductionDemo.js	ff5a47afe4457794211d0f01457bc6505d2e5e43	a0bd9f60065ab722383ee0f11c0a32d3bf3824098c009634b91077081923fff1	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/scripts/verifyReliability.js	4833716e4689606a37d6e4dcc9b08caa4e6388f4	43ce75cd74a5d1b04e7e37254fd04970c826911a333cd35e6e1b34e13b7af6d5	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/scripts/with-disposable-postgres.sh	ecddc6194c050aae120970a09d09b4a95d40af84	c7f536186441f3513691f13b7bf92d31ae0dd8e070f56ecdfce7acd1aa235097	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
backend/src/__tests__/httpLogging.test.ts	499bb7f8b2bf25cef348c4e2d71ff6176191230f	e884ab18c5600e1eee3b42752fee7da7f966eee7eb79bfafd9eaf980ed15d0e3	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
backend/src/auth/__tests__/authCookies.test.ts	1b99217551a4b62fbcb134d4fea059461d673092	1f5ff735d0f80b0f5485a28a03ced04507b51154d0158dff8621eb09c1eaa4bf	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/__tests__/bcrypt.test.ts	082a471c1bbfef5c2bae17c8332c2afc027eb926	69ebc5e4c354391a75fa3ae9fb9008e2c20c8cbbdc1c943b73c9613d73b6cf08	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/__tests__/jwt.boardSession.test.ts	5639a1031799e811e053098070700b3f7569e529	87699f3879636aba5089346706ff08cc3675611ac1f652f7c9e3a62f06e7d7c1	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/__tests__/jwt.test.ts	ec817d289450685840608f9f310fe0a5015a7a67	869e1692fc1275ef79d130eb2323e17897d4ea77480c932573368644c4763c04	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/__tests__/sessionPayloads.test.ts	f1e464f932fea779342010ca3c6c1069053867ec	630e713632c32b3c233ae20fdf30972e0ebfe1b3880c62e432f0dcba76d12386	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/authCookies.ts	e9541049b732278815777c7a5ce525f7b61b77fb	92e800f962ada868bafe25d240c15ffebc2ccb42699902b4996714f5832659cb	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/authResponses.ts	dcf7dee05880443135075d8aa28850339cfd7d60	ee2682cc6c87b6c97796a3d7582488fba4b6fc65c96140fe9c92df0ecfeb4ddf	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/bcrypt.ts	a04aefc4005ae951824b164320c5bcd7d228b823	e9d1333d42c1b8aa0a7039613cacf1ff42ed5c30e21eac0f7e85109041cb7c49	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/jwt.ts	f1182bdf93da65b31ec9a0c26cb00b3751a80081	aa52a5465a569ab6b816b1f756b30be0634b0ebabac2fc38d25bc7a38e830711	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/session.ts	ce76a7f345e7d941ab8a47c1232f9c3f563999bd	ed353b9a82c9c75d5b8da90efcb268564eb5dba6a09f81840c86e6d1bfa0cc0f	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/sessionPayloads.ts	fe349ad94346e8a7f54c6531efb6bbed2e80b8ef	9a3bac827e6edd58fae05fa97bfb988e58d49fecf2c8212491d0ad774410145b	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/auth/setupCode.ts	07bfd931f382703d52babdfcc697ff93ddce633e	5d5c4fb0d3460ad43249d87d39c5d210984cb8cb1e0322f9b23a9d8ab4eb3b70	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/config/__tests__/production.test.ts	685b301d3ba8c689c1814af32fc1d2d3b8fc3063	d67a72a011325b0e67d66b704ac0188cac8f00d2dabac2429b642a17249fbb87	TERMINAL_DELTA_1A14581_REREVIEWED	FIXED	RC5-AUD-01{state=FIXED;commits=8181b7835d8fd38b01913ed0accc9e1b85a20276;red=docs/rc5-final-incremental-audit.md#rc5-aud-01;green=docs/rc5-final-incremental-audit.md#rc5-aud-01;permanent_tests=backend/src/config/__tests__/production.test.ts+backend/src/middlewares/__tests__/csrfProtection.test.ts+scripts/test-preflight.sh+frontend/e2e/security-contracts.spec.ts;residual_local_risk=NONE}
backend/src/config/production.ts	b494994bea975f9ee0efb46f2b0271ab98d936d1	1570f85a4e158805d7fc4b9be8fcd53bb39efd206ee65068cd02518d8748dff2	TERMINAL_DELTA_1A14581_REREVIEWED	FIXED	RC5-AUD-01{state=FIXED;commits=8181b7835d8fd38b01913ed0accc9e1b85a20276;red=docs/rc5-final-incremental-audit.md#rc5-aud-01;green=docs/rc5-final-incremental-audit.md#rc5-aud-01;permanent_tests=backend/src/config/__tests__/production.test.ts+backend/src/middlewares/__tests__/csrfProtection.test.ts+scripts/test-preflight.sh+frontend/e2e/security-contracts.spec.ts;residual_local_risk=NONE}
backend/src/db/__tests__/seed.test.ts	06cff8646dc0357ad857ee6078c06544a664ccde	83db982d531c5e31a85f5d99ee3fc0de2690bea9dd321d563dd8bd22e96012d6	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/db/__tests__/sql.test.ts	1c187c84c9c688770263e765b5fa9aadd77f9e2d	26a1f5ed978716b3b091eaffb39e0664f31c523e60746de2b3e13dedbea6cd42	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/db/migrate.ts	433e52c2ade4f2e25829c4283caa56b57314d37c	aa3eac8dfa96d45a35ddce30e31471197edbb937456888208ce5aec127947833	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/db/pool.ts	39c676d3c4e5450e508d3312222cf569328326b6	d8084ff75059d8db0f310ccf07d75ef6ea8d88f18d67321e411b41c057c75674	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/db/seed.ts	41557f8858ebc079b28649b6c39fa82524cfdf00	25719850f6e1da1061ed4084f25ba6b37d1257f4ea54633227c0bb9cbd8a5ba3	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/db/sql.ts	ad48075a269b1498231a71e9d7ba4761e04d4091	2385fad55987a148e0f1124a8fbbdacd67de013d1060523afef5af8020656a1f	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/db/transaction.ts	bae6e4781dca56a2126cc5d078ae6d7f67110059	613ef9ca3be4e6ccd25d913dc4db1cbba418c4325de2376b692184ba257d37f6	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/domain/__tests__/constants.test.ts	04b17b7cd9d84511af79438a847b3f8ece20a3fd	28224a0d411fd35fa392d3662ae8bb0bae278b7296a27cacd199d1c987eb25ad	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/domain/__tests__/identifiers.test.ts	585906960ec7ac676e246c8e3a4676187c2a1d0f	c4e4c4fb4263b7362a8b956a6af56461e2c44d54c49f2e64f2899b2db7c684dc	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/domain/constants.ts	816e88b3f9155ffcbd6b7754313dec8241fa18fd	c26f9c3dc16d293195512cee0f07f39528f41dd96a383d103ea0f6193b66f8cd	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/domain/identifiers.ts	94fa6fe8f04fb040c1f6612faa94daf2a5da642b	72b64af56348c880219d80c2036416f2c302692557956427be9b4e252dae4f21	INHERITED_29DB4D1_HASH_IDENTICAL	REVIEWED	-
backend/src/httpLogging.ts	2d113e787d4058c716361660903b1f09520a6f39	52babaccd94c759e859f4e038470ed2f9cfd528e94f879e3e042d0a5582216e7	MODIFIED_SINCE_29DB4D1	REVIEWED_INCREMENTAL	-
